timestamp,ear,yaw,pitch,roll,gaze_h,gaze_v,attention_score,label
11:34:30,0.2782,2.15,4.83,-11.32,0.5263,0.4264,89.5,ATTENTIVE
11:34:30,0.2780,2.14,4.82,-11.37,0.5267,0.4247,89.0,ATTENTIVE
11:34:30,0.2783,2.15,4.87,-11.33,0.5272,0.4252,89.1,ATTENTIVE
11:34:30,0.2778,2.16,4.82,-11.37,0.5271,0.4247,88.9,ATTENTIVE
11:34:30,0.2779,2.15,4.83,-11.37,0.5269,0.4248,88.9,ATTENTIVE
11:34:30,0.2780,2.15,4.84,-11.37,0.5272,0.4249,88.9,ATTENTIVE
11:34:30,0.2779,2.16,4.78,-11.35,0.5272,0.4249,88.9,ATTENTIVE
11:34:30,0.2780,2.17,4.85,-11.38,0.5270,0.4248,88.9,ATTENTIVE
11:34:30,0.2856,2.08,4.69,-11.19,0.5276,0.4397,94.5,ATTENTIVE
11:34:30,0.2862,2.13,5.18,-11.37,0.5224,0.4407,95.5,ATTENTIVE
11:34:30,0.2857,2.08,5.09,-11.33,0.5247,0.4397,94.9,ATTENTIVE
11:34:30,0.2857,2.08,5.15,-11.38,0.5243,0.4392,94.8,ATTENTIVE
11:34:30,0.2874,1.78,4.72,-11.77,0.5271,0.4458,96.6,ATTENTIVE
11:34:30,0.2970,1.34,4.95,-10.46,0.5248,0.4354,95.3,ATTENTIVE
11:34:30,0.2965,1.29,4.90,-11.29,0.5221,0.4318,94.4,ATTENTIVE
11:34:30,0.2960,1.26,4.92,-11.17,0.5228,0.4302,93.8,ATTENTIVE
11:34:30,0.2910,1.38,5.28,-11.16,0.5201,0.4277,92.5,ATTENTIVE
11:34:30,0.2860,1.46,5.44,-11.52,0.5198,0.4251,90.9,ATTENTIVE
11:34:30,0.2876,1.48,5.54,-11.35,0.5193,0.4236,90.8,ATTENTIVE
11:34:30,0.2872,1.47,5.51,-11.39,0.5194,0.4239,90.8,ATTENTIVE
11:34:30,0.2957,1.48,6.26,-10.85,0.5177,0.4433,98.3,ATTENTIVE
11:34:30,0.2912,1.21,5.97,-11.02,0.5237,0.4418,96.5,ATTENTIVE
11:34:30,0.3001,1.07,5.30,-10.98,0.5210,0.4338,95.5,ATTENTIVE
11:34:30,0.3012,1.03,5.54,-11.03,0.5208,0.4303,94.4,ATTENTIVE
11:34:30,0.3004,1.01,5.57,-11.04,0.5201,0.4282,93.8,ATTENTIVE
11:34:30,0.2913,0.82,5.33,-10.93,0.5240,0.4277,92.2,ATTENTIVE
11:34:30,0.2854,0.85,5.20,-11.10,0.5259,0.4293,91.6,ATTENTIVE
11:34:30,0.2839,0.88,5.22,-10.98,0.5252,0.4282,91.1,ATTENTIVE
11:34:30,0.2846,0.89,5.20,-10.96,0.5251,0.4299,91.7,ATTENTIVE
11:34:30,0.2823,0.80,5.26,-11.23,0.5281,0.4365,93.0,ATTENTIVE
11:34:30,0.2866,0.85,4.80,-10.70,0.5247,0.4367,94.1,ATTENTIVE
11:34:30,0.2908,0.88,4.69,-10.66,0.5254,0.4418,96.2,ATTENTIVE
11:34:30,0.2925,0.87,4.82,-10.66,0.5259,0.4371,95.0,ATTENTIVE
11:34:30,0.2935,0.87,4.86,-10.62,0.5258,0.4383,95.5,ATTENTIVE
11:34:30,0.2918,0.86,4.80,-10.64,0.5241,0.4430,96.9,ATTENTIVE
11:34:30,0.2963,0.87,4.99,-10.64,0.5235,0.4453,98.3,ATTENTIVE
11:34:30,0.2938,0.82,4.82,-10.65,0.5246,0.4422,96.9,ATTENTIVE
11:34:30,0.2874,0.85,4.52,-10.69,0.5232,0.4439,96.6,ATTENTIVE
11:34:30,0.2903,1.01,4.60,-9.98,0.5216,0.4296,92.9,ATTENTIVE
11:34:30,0.2845,0.84,4.20,-11.02,0.5226,0.4269,91.0,ATTENTIVE
11:34:30,0.2836,0.84,4.25,-10.96,0.5228,0.4266,90.8,ATTENTIVE
11:34:30,0.2840,0.83,4.21,-10.94,0.5232,0.4271,90.9,ATTENTIVE
11:34:30,0.2842,0.84,4.23,-10.95,0.5230,0.4254,90.5,ATTENTIVE
11:34:30,0.2956,0.91,4.33,-10.26,0.5199,0.4298,93.9,ATTENTIVE
11:34:30,0.2934,0.80,4.68,-10.30,0.5246,0.4341,94.4,ATTENTIVE
11:34:30,0.2897,0.79,4.41,-10.42,0.5251,0.4281,91.9,ATTENTIVE
11:34:30,0.2872,0.81,4.51,-10.88,0.5219,0.4302,92.5,ATTENTIVE
11:34:31,0.2877,0.82,4.39,-10.97,0.5236,0.4293,92.2,ATTENTIVE
11:34:31,0.2861,0.86,4.49,-11.10,0.5240,0.4320,92.7,ATTENTIVE
11:34:31,0.2867,0.85,4.40,-11.05,0.5242,0.4326,92.9,ATTENTIVE
11:34:31,0.2921,0.95,4.34,-10.36,0.5234,0.4308,93.3,ATTENTIVE
11:34:31,0.2979,0.88,4.51,-10.22,0.5237,0.4270,93.0,ATTENTIVE
11:34:31,0.2985,0.86,4.57,-10.26,0.5249,0.4229,91.7,ATTENTIVE
11:34:31,0.2993,0.81,4.49,-10.51,0.5247,0.4143,89.0,ATTENTIVE
11:34:31,0.2939,0.78,4.31,-10.65,0.5267,0.4143,88.1,ATTENTIVE
11:34:31,0.2912,0.77,4.31,-10.61,0.5270,0.4186,89.1,ATTENTIVE
11:34:31,0.2920,0.77,4.28,-10.62,0.5257,0.4171,88.8,ATTENTIVE
11:34:31,0.2932,0.79,4.32,-10.56,0.5246,0.4163,88.9,ATTENTIVE
11:34:31,0.2988,0.95,4.67,-10.45,0.5266,0.4297,93.6,ATTENTIVE
11:34:31,0.2934,0.96,4.96,-10.57,0.5258,0.4217,90.5,ATTENTIVE
11:34:31,0.2963,0.92,5.13,-10.37,0.5239,0.4253,92.2,ATTENTIVE
11:34:31,0.2974,0.88,5.18,-10.29,0.5236,0.4257,92.5,ATTENTIVE
11:34:31,0.2963,0.91,5.17,-10.33,0.5237,0.4258,92.4,ATTENTIVE
11:34:31,0.2965,0.91,5.16,-10.35,0.5241,0.4254,92.2,ATTENTIVE
11:34:31,0.2977,0.91,4.84,-10.12,0.5265,0.4326,94.4,ATTENTIVE
11:34:31,0.2931,0.94,5.08,-9.88,0.5257,0.4329,93.9,ATTENTIVE
11:34:31,0.2951,1.10,4.63,-10.17,0.5202,0.4382,96.4,ATTENTIVE
11:34:31,0.2997,1.09,4.69,-10.28,0.5183,0.4336,95.7,ATTENTIVE
11:34:31,0.3002,1.05,4.77,-10.28,0.5185,0.4303,94.6,ATTENTIVE
11:34:31,0.3003,1.08,4.85,-10.19,0.5177,0.4299,94.5,ATTENTIVE
11:34:31,0.2906,1.15,4.40,-10.01,0.5143,0.4140,88.5,ATTENTIVE
11:34:31,0.2909,1.03,4.20,-10.33,0.5148,0.4116,87.8,ATTENTIVE
11:34:31,0.2901,1.01,4.26,-10.42,0.5153,0.4091,86.8,ATTENTIVE
11:34:31,0.2911,1.03,4.27,-10.34,0.5165,0.4103,87.3,ATTENTIVE
11:34:31,0.2853,1.08,3.78,-10.70,0.5167,0.4086,85.8,ATTENTIVE
11:34:31,0.2931,1.02,2.69,-10.88,0.5239,0.4277,92.5,ATTENTIVE
11:34:31,0.2902,1.03,2.79,-10.74,0.5172,0.4323,94.1,ATTENTIVE
11:34:31,0.2893,1.02,2.72,-10.37,0.5130,0.4247,91.8,ATTENTIVE
11:34:31,0.2873,1.29,3.32,-10.47,0.5168,0.4087,86.2,ATTENTIVE
11:34:31,0.2912,1.25,3.41,-10.51,0.5133,0.4207,90.8,ATTENTIVE
11:34:31,0.2934,1.21,3.29,-10.61,0.5153,0.4260,92.7,ATTENTIVE
11:34:31,0.2927,1.21,3.16,-10.44,0.5148,0.4259,92.6,ATTENTIVE
11:34:31,0.2920,1.20,3.19,-10.44,0.5151,0.4254,92.3,ATTENTIVE
